titulo,autores,anio,revista,doi,bloque,consulta,fuente_api,resumen
Abordando o Tema Alimentos Embutidos por Meio de uma Estratégia de Ensino Baseada na Resolução de Casos: Os Aditivos Alimentares em Foco,"Freitas-Reis, Ivoni; Faria, Fernanda Luiza de",2015,Química Nova na Escola,10.5935/0104-8899.20150009,B_aditivos_envasados_mx,"""aditivos alimentarios"" preenvasados",Crossref,
The utility of written numerals for preschool children when solving additive problems / La utilidad de los numerales escritos en la resolución de problemas aditivos en niños preescolares,"Alvarado, Mónica",2015,Estudios de Psicología,10.1080/02109395.2014.1000026,B_aditivos_envasados_mx,"""aditivos alimentarios"" preenvasados",Crossref,
AVALIAÇÃO DE ADITIVOS UTILIZADOS PARA AUMENTO DA EFICIÊNCIA NUTRICIONAL NA BOVINOCULTURA,"Machado, A. M. C.; Janini, A. P. R.; Vicente, E. F.",2014,Revista Brasileira de Engenharia de Biossistemas,10.18011/bioeng2014v8n3p250-254,B_aditivos_envasados_mx,"""aditivos alimentarios"" preenvasados",Crossref," Atualmente o setor pecuário necessita e exige eficiência de sistemas produtivos para garantir uma maior competitividade e rentabilidade, tais como a criação racional de bovinos para alcançar uma maior eficiência na produção de alimentos, principalmente carne e leite. Serão abordados neste breve estudo os aspectos fundamentais na nutrição de ruminantes em relação à microbiota do rúmen e a utilização de diferentes aditivos para aperfeiçoar o balanço nutricional da produção de bovinos de corte. "
ADITIVOS NO PROCESSO DE ENSILAGEM,"LALA, B.; PEREIRA, V. V.; POSSAMAI, A. P.S.; DINIZ, P. P.; SILVA, S. C.C; GRANDE, P. A.",2010,Revista Brasileira de Engenharia de Biossistemas,10.18011/bioeng2010v4n3p175-183,B_aditivos_envasados_mx,"""aditivos alimentarios"" preenvasados",Crossref," O objetivo desta revisão foi relacionar os diferentes tipos de aditivos utilizados para ensilagem, seus efeitos e formas de utilização. O processo de ensilagem visa a boa conservação da cultura para utilizar com animais confinados em períodos de alimentação escassa, e para um melhor aproveitamento do material ensilado, o uso de aditivos é necessário. Dentre os aditivos destacam-se os estimuladores da fermentação, os inibidores da fermentação, os estimuladores da estabilidade aeróbia e os nutrientes. A decisão sobre qual aditivo usar dependerá principalmente do custo de utilização e a relação deste com os benefícios alcançados. "
EFETIVIDADE DAS NORMAS CONSTITUCIONAIS E SENTENÇAS COM EFEITOS ADITIVOS NA JUSTIÇA CONSTITUCIONAL PORTUGUESA E BRASILEIRA,"Silva de Amorim, Camila",2015,Revista Direito e Política,10.14210/rdp.v10n2.p871-906,B_aditivos_envasados_mx,"""aditivos alimentarios"" preenvasados",Crossref," A partir da análise da eficácia ou da efetividade das normas jurídicas no exercício da jurisdição constitucional cumpre analisar o papel cada vez mais marcante nos casos de omissão legislativa do órgão constitucional. Da comparação entre a legislação do Brasil e do país irmão, Portugal, dada a influência deste em nosso controle de constitucionalidade, percebermos que o chamado ativismo judicial é notório na jurisprudência pátria. Assim, a análise hermenêutica constitucional nos permite traçar uma posição mais crítica sobre a famigerada atuação judicial do órgão de cúpula a quem incumbe à guarda da Constituição. "
Avaliação das características da resina epóxi com diferentes aditivos desaerantes,"Oliveira, Alexsandro; Becker, Cristiane Miotto; Amico, Sandro Campos",2015,Polímeros,10.1590/0104-1428.1661,B_aditivos_envasados_mx,"""aditivos alimentarios"" preenvasados",Crossref," Este trabalho tem por objetivo a busca por técnicas alternativas para diminuir a incidência de vazios em resinas poliméricas e, por consequência, em materiais compósitos. Foram produzidas formulações diferentes utilizando resina epóxi à base de éter diglicidílico do Bisfenol A, endurecedor de poliamina alifática com e sem a adição de diferentes aditivos desaerantes a base de éteres e ésteres modificados. As formulações produzidas foram submetidas a condições extremas de agitação e processamento, sendo posteriormente avaliadas quanto a incidência de bolhas e vazios, densidade, propriedades mecânicas, morfológicas e térmicas. Os resultados foram bastante positivos quanto à diminuição da quantidade e do tamanho de poros pela utilização de técnicas de desgaseificação a vácuo e pelo uso de aditivos desaerantes. "
Efeito de aditivos no comportamento reológico do rejeito da bauxita,"Gonçalves, S. G.; Ferreira, K. C.; Brum, S. M.; Souza, J. A. S.; Felipe, A. M. P. F.",2015,Cerâmica,10.1590/0366-69132015613571808,B_aditivos_envasados_mx,"""aditivos alimentarios"" preenvasados",Crossref," Na mineração da bauxita no município de Paragominas-PA, são descartados no processo de beneficiamento rejeitos com teor de sólido de 33,5% e granulometria muito fina com D50 abaixo de 5 µm. Esses fatores contribuem para que esta suspensão formada basicamente por silico-aluminatos, com elevada concentração de argila caulinitica, apresente aumento na viscosidade e na tensão inicial de escoamento, fatores importantes durante o processo de bombeamento. Foi realizada análise granulométrica e determinadas as composições químicas e mineralógicas do material. Avaliou-se a utilização dos aditivos hexametafosfato de sódio e poliacrilamida 25% aniônica visando à diminuição da viscosidade. Os resultados mostram diminuição da viscosidade com a adição de 23,8 g/ton para a poliacrilamida e 101,75 g/ton para o hexametafosfato de sódio. A granulometria da polpa de bauxita descartada e o pH influenciam no comportamento dos aditivos reológicos. "
Seleção de aditivos para redução da toxicidade do quartzo em formulações cerâmicas,"Escrig, A.; Ibáñez, M. J.; Monfort, E.; Bonvicini, G.; Salomoni, A.; Creutzenberg, O.; Ziemann, C.",2015,Cerâmica Industrial,10.4322/cerind.2015.008,B_aditivos_envasados_mx,"""aditivos alimentarios"" preenvasados",Crossref,
ADITIVOS ALIMENTARES E SUAS REAÇÕES ADVERSAS NO CONSUMO INFANTIL,"FERREIRA, Fabrícia de Souza",2015,REVISTA DA UNIVERSIDADE VALE DO RIO VERDE,10.5892/ruvrd.v13i1.1485,B_aditivos_envasados_mx,"""aditivos alimentarios"" preenvasados",Crossref,
PAINÉIS CIMENTO-MADEIRA DE Eucalyptus saligna COM DIFERENTES ADITIVOS QUÍMICOS E MÉTODOS DE FORMAÇÃO,"Castro, Vinicius Gomes; Braz, Rafael Leite; Azambuja, Rafael Rosa; Loiola, Pedro Lício; Iwakiri, Setsuo; Matos, Jorge Luis Monteiro",2014,FLORESTA,10.5380/rf.v45i2.35765,B_aditivos_envasados_mx,"""aditivos alimentarios"" preenvasados",Crossref," Este trabalho teve como objetivo avaliar o potencial de uso de diferentes aditivos químicos e métodos de formação na produção de compósitos cimento-madeira com clone de Eucalyptus saligna. Utilizou-se o cimento Portland tipo CP II-Z, como aglutinante mineral, e cloreto de cálcio (CaCl2) e cloreto de magnésio (MgCl2),como aceleradores de cura do cimento. Os painéis cimento-madeira foram produzidos pelo método de prensagem na prensa de pratos de 50,5 x 38,5 x1,5 cm, e pelo método de adensamento por vibrocompactação em dimensões de 35 x 7 x1,5 cm. Os painéis foram formados com densidade nominal de 1 g/cm³ e relação cimento:madeira de 2,75:1. Com base nos resultados, pode-se concluir que: (I) os testes de hidratação mostraram que a madeira é compatível com o cimento Portland tipo II; (II) o uso de cloreto de cálcio e de magnésio na proporção de 3% em relação à massa do cimento proporcionou incremento nas propriedades físicas e mecânicas dos painéis produzidos pelos dois métodos de formação avaliados; (III) os painéis produzidos pelo método de adensamento por vibrocompactação apresentaram menor densidade média, maior estabilidade dimensional e melhor tração perpendicular do que os painéis produzidos pelo método tradicional de prensa de pratos.Palavras-chave: Compósito cimento-madeira; vibro compactação; aceleradores de cura. AbstractWood-cement boards of Eucalyptus saligna with different chemical additives and methods of formation. The aim of this work was evaluate the potential "
INFLUÊNCIA DE ADITIVOS E DA TEMPERATURA DA ÁGUA NA PLASTICIDADE DE UMA FORMULAÇÃO PARA FABRICAÇÃO DE CERÂMICA VERMELHA,"Zaccaron, Alexandre; Nandi, Vitor de Souza; Frasson, Fabrício; Pasini, Renato Dagostim; Fernandes, Paulo",2015,Cerâmica Industrial,10.4322/cerind.2015.004,B_aditivos_envasados_mx,"""aditivos alimentarios"" preenvasados",Crossref,
A regulação de aditivos que conferem sabor e aroma aos produtos derivados do tabaco no Brasil,"Turci, Silvana Rubano Barretto; Figueiredo, Valeska Carvalho; Silva, Vera Luiza da Costa e",2014,Cadernos Ibero-Americanos de Direito Sanitário,10.17566/ciads.v3i1.18,B_aditivos_envasados_mx,"""aditivos alimentarios"" preenvasados",Crossref," A Agência Nacional de Vigilância Sanitária (ANVISA) proibiu, por meio da Resolução da Diretoria Colegiada nº 14, de 2012, o uso de aditivos que conferem aroma e sabor aos produtos derivados do tabaco, com o objetivo de reduzir a experimentação e iniciação por crianças e jovens já que o emprego dessas substâncias, que caracterizam sabores e reduzem a aspereza da fumaça, os tornam mais atraentes e palatáveis. A Organização Mundial da Saúde (OMS) considera o tabagismo como uma doença pediátrica pois 90% dos fumantes começam a fumar antes dos 19 anos e quanto mais cedo se iniciam no uso do tabaco, mais rapidamente eles se tornam dependentes. No Brasil, os custos do tratamento das doenças tabaco-relacionadas chegam a R$ 21 bilhões/ano. Proibir os aditivos é uma importante medida de saúde pública, em consonância com os artigos 9 e 10 e Guias Parciais de Implementação da Convenção-Quadro para o Controle do Tabaco da OMS (CQCT/OMS), tratado ratificado pelo Brasil em 2005. Esses artigos versam sobre a regulamentação do conteúdo e a divulgação de informações dos produtos do tabaco, respectivamente. O artigo faz uma análise do processo regulatório no Brasil, elencando os principais eventos relacionados e sugerindo uma interferência direta da indústria fumageira e de grupos de interesse na tomada de decisão e na implementação da RDC14/2012. Apesar do esforço da Anvisa e de pareceres favoráveis da Advocacia Geral da União e da Procuradoria Geral da República quanto à constitucionalidade "
ENSILAJE DE PASTOS “YURAC ICHU” (Festuca dichoclada) Y “CHILLIWA” (Fetuca dolichophylla) CON INCLUSIÓN DE ALFALFA Y ADITIVOS EN BOLSAS DE POLIETILENO,"CHOQUE LAZARO, JULIO; Vilca flores, Armando",2013,Revista Investigaciones Altoandinas - Journal of High Andean Investigation,10.18271/ria.2013.5,B_aditivos_envasados_mx,"""aditivos alimentarios"" preenvasados",Crossref," &lt;span&gt;Este trabajo se realizó en el distrito de Macari, provincia de Melgar- Puno, los objetivos fueron: a) Evaluar la calidad organoléptica de los ensilados, b) Determinar composición química de los ensilados, y c) Estimar costo de elaboración de ensilado y su rentabilidad.  Los factores  en estudio fueron: Ensilaje de dos especies de pastos nativos (E1: Forraje de&lt;/span&gt;&lt;em&gt; Festuca dolichophylla&lt;/em&gt;&lt;span&gt;  y E2: Forraje de &lt;/span&gt;&lt;em&gt;Festuca dichoclada&lt;/em&gt;&lt;span&gt;) y cuatro  niveles de inclusión de aditivos (A1: Alfalfa 0%+ Urea 1% + melaza 1%, A2: Alfalfa 0%+ Urea 2% + melaza 3%, A3: Alfalfa 30% + Melaza 1% y A4: Alfalfa 30% + Melaza 3%). Las variables evaluadas fueron: Calidad organoléptica de los ensilados. Contenido de proteína cruda,  fibra detergente neutro, ácido láctico, ácido acético y pH de los ensilados. Costo producción ensilado, rentabilidad y relación beneficio/costo. Los datos se analizaron en un  diseño completamente al azar con arreglo factorial de 2 x 4  con 3 repeticiones. Ensilado de “Yurac Ichu” mezclados  con alfalfa y melaza presentó una calidad organoléptica buena. Mientras  los ensilados de “Chilliwa”  fueron  calificados como  de calidad regular.  Se encontraron diferencia significativa (P≤0,05) entre ensilajes (E), entre niveles de aditivos (A) y para la interacción ExA en el contenido de proteína cruda y fibra detergente neutro de los ensilados producidos. Los ensilados de “Yurac Ichu” mezcl"
Incidência de ruminite e abscesso hepático em bovinos jovens confinados alimentados com dietas contendo aditivos alimentares,"BARDUCCI, Robson Sfaciotti; SARTI, Luís Marcelo Nave; MILLEN, Danilo Domingues; PACHECO, Rodrigo Dias Lauritano; MARTINS, Cyntia Ludovico; ARRIGONI, Mário De Beni",2015,Revista Brasileira de Saúde e Produção Animal,10.1590/s1519-99402015000100017,B_aditivos_envasados_mx,"""aditivos alimentarios"" preenvasados",Crossref," &lt;p&gt;O objetivo deste estudo foi avaliar o efeito da inclusão do preparado de anticorpos policlonais (PAP) e/ou de monensina sódica (MON) na morfologia das papilas ruminais, incidência de ruminites (IR) e abscessos hepáticos (AH) em bovinos jovens confinados. Foram utilizados 72 novilhos da raça Brangus, não castrados, com peso vivo inicial de 261,04 ± 34,73 kg, em 24 baias (3 animais/baia) com 6 repetições por tratamento. O delineamento experimental foi inteiramente casualizado em arranjo fatorial 2 x 2, sendo os fatores a adição ou não de MON e PAP. Após o abate foram realizadas as avaliações. No fígado tanto o percentual de AH quanto a severidade foram menores (P&lt;0,01) nos animais que receberam PAP em relação aos que não receberam. A inclusão de MON foi apenas eficiente em reduzir (P&lt;0,01) a severidade dos AH em relação ao tratamento sem o aditivo. Não houve efeito dos aditivos sobre o IR. O tratamento com MON resultou em maior (P=0,07) superfície de absorção/cm&lt;sup&gt;2&lt;/sup&gt; de parede de rúmen e maior (P=0,10) área papilar em relação ao tratamento sem este aditivo. Número de papilas/cm&lt;sup&gt;2&lt;/sup&gt; de parede e área média das papilas não apresentaram diferenças entre tratamentos. O uso de PAP foi eficiente na redução de AH bem como a severidade, porém não foi capaz de melhorar a forma e a estrutura das papilas ruminais, como o observado com o uso de MON.&lt;/p&gt; "
MEDIDAS CAUTELARES INTERPRETATIVAS E DE EFEITOS ADITIVOS NO CONTROLE DE CONSTITUCIONALIDADE: UMA ANÁLISE CRÍTICA DE SUA APLICAÇÃO,"De Laurentiis, Lucas; Galkowicz, Henrique",2015,Revista Direito GV,10.1590/1808-2432201504,B_aditivos_envasados_mx,"""aditivos alimentarios"" preenvasados",Crossref," Apresentamos uma análise sistemática e crítica acerca da possibilidade de técnicas decisórias interpretativas e aditivas serem aplicadas em medidas de urgência do modo principal de controle judicial de constitucionalidade. Para tanto, esmiuçamos as características de tais técnicas processuais e as peculiaridades de sua aplicação nas ações típicas da jurisdição constitucional brasileira. Feito isso, avaliamos a compatibilidade de tais provimentos sumários com as peculiaridades das técnicas de controle interpretativas e aditivas. Enfim, apresentamos um estudo de caso, no qual os efeitos práticos de nossas reflexões são postos a prova. "
Síntesis verde y caracterización de sólidos de matriz silícea con cobre y plata obtenidos a partir de dos precursores para su aplicación como aditivos antifúngicos,"Arreche, Romina; Igal, Katerine; Bellotti, Natalia; Vázquez, Patricia",2015,Matéria (Rio de Janeiro),10.1590/s1517-707620150003.0062,B_aditivos_envasados_mx,"""aditivos alimentarios"" preenvasados",Crossref,
Resposta Econômica do Uso de Diferentes Aditivos na Silagem de Milho (Zea mays L.) no Sistema de Terminação de Bovinos em Confinamento,"Zanette, P.M.; Neumann, M.; Ueno, R.K.; Pletz, E.; Poczynek, M.; Cescon, L.K.",2012,Revista Brasileira de Milho e Sorgo,10.18512/1980-6477/rbms.v11n1p86-97,B_aditivos_envasados_mx,"""aditivos alimentarios"" preenvasados",Crossref,
Degradabilidade in situ das silagens de variedades de cana-de açúcar com aditivos,"Silva, G.W.V.; Rocha Júnior, V.R.; Rocha, W.J.B.; Reis, S.T.; Pires, D.A.A.; Antunes, A.P.S.; Almeida Filho, S.H.C.; Oliveira, L.M.; Caldeira, L.A.; Souza, V.M. de",2014,Archivos de Zootecnia,10.4321/s0004-05922014000100017,B_aditivos_envasados_mx,"""aditivos alimentarios"" preenvasados",Crossref,
"Ação trófica de aditivos fitogênicos, glutamina e ácido glutâmico sobre a Bursa de Fabrícius e intestino delgado de frangos de corte","Pelícia, Vanessa Cristina; Ducatti, Carlos; Araujo, Priscila Cavalca de; Stradiotti, Ana Cristina; Aoyagi, Monica Megumi; Fernandes, Barbara da Silva; Silva, Evandro Tadeu; Sartori, José Roberto",2015,Pesquisa Veterinária Brasileira,10.1590/s0100-736x2015000700015,B_aditivos_envasados_mx,"""aditivos alimentarios"" preenvasados",Crossref," Abstract The aim of this study was to evaluate the effect of phytogenic additives and glutamine plus glutamic acid, associated or not, on histomorphometry of bursa of Fabricius and small intestine, oocyst count and lesion scores, and carbon turnover of duodenal mucosa of broiler chickens infected with Eimeria acervulina. A total of 450 male broiler chickens was distributed into a completely randomized design with six treatments and three replications. Treatments consisted of control diet (CD); CD + coccidiosis vaccine; CD + antibiotic performance enhancers and anticoccidial (APE/AC); CD + glutamine and glutamic acid (Gln/Glu); CD + phytogenic additives (PA); CD + Gln/Glu + PA. Birds on treatment CD + vaccine were vaccinated via drinking water at three days of age against coccidiosis. At 16 days of age all birds of all treatments were inoculated orally and individually with 500,000 oocysts of Eimeria acervulina. There was no treatment effect on lesion score in the intestinal epithelium of birds. The smaller number of excreted oocysts was observed in groups of birds fed diets containing APE/AC and PA. Were observed better results of villus height and crypt depth for duodenum and ileum of birds of treatments containing Gln/Glu at 7 days of age, and Gln/Glu and PA at 21 days of age. Higher percentage of cortical area from bursa follicles was observed in birds fed diets supplemented with Gln/Glu and PA at 7, 14 and 21 days of age. Increased turnover of intestinal mucosa was obser"
Ontological Politics and Latin American Local Knowledges,Ivan da Costa Marques,2014,The MIT Press eBooks,10.7551/mitpress/9780262027458.003.0005,B_aditivos_envasados_mx,"""food additives"" ""Latin America""",OpenAlex,"It is a widely held Western belief that the West has knowledge, while other people have mere beliefs about reality. This kind of Western common sense is established as a result of a specific ontological political perspective adopted in the production of modern scientific knowledges. This chapter looks closely at two cases of relations between Brazilian realities and the West. The first case involves a very popular fictional figure whom Brazilian intellectuals have transformed from a literary object into an object of sociological research. The second case shows three different worlds or realities (not just three different interpretations of reality) of multimistura, a food additive made from native ingredients in response to the serious problem of malnutrition in Brazilian children. A local practice dating from the 1970s, multimistura has resisted the hegemonic ontological political perspective of Western science. The combined analysis of the two cases demonstrates a line of flight from the Western global frame of reference and provides Brazilian local practices and organizations with greater respectability in their agreements and disputes with Western sciences and technologies."
"Additives in foods marketed to children in Uruguay, an emerging Latin American country",Florencia Alcaire; Ana Giménez; Gastón Ares,2025,Journal of Nutritional Science,10.1017/jns.2024.98,B_aditivos_envasados_mx,"""food additives"" ""Latin America""",OpenAlex,"Foods are frequently marketed to children through the inclusion of a wide range of elements on the packages. Several studies conducted in different countries around the globe have shown that products marketed to children are usually high in sugar and other nutrients associated with non-communicable diseases. The present exploratory cross-sectional study aimed at providing additional evidence on the composition of products marketed to children by analysing the disclosure of additives in such products. Data were collected at nine supermarkets in two Uruguayan cities between August and October 2021. All packaged products available in each supermarket were surveyed using a cell phone app, except for culinary ingredients. All the information from the labels was extracted. Products marketed to children were identified based on the presence of indicators of child-directed marketing on the package. The disclosure of additives was analysed based on the information available in the ingredient list. The prevalence of food additive disclosure was calculated. Of the 7,343 products included in the database, 573 (7.8%) were classified as marketed to children. Candies and cookies were the categories with the largest number of products marketed to children. The great majority of the products marketed to children disclosed at least one food additive (93.5%). These products tended to more frequently notify colourings, antioxidants, acidity regulators, raising agents, stabilisers, humectants, an"
Betalains: The main bioactive compounds of Opuntia spp and their possible health benefits in the Mediterranean diet,Yasmany Armas Díaz; Zexiu Qi; Bei Yang; Nohora Milena Martínez López; Mercedes Briones Urbano; Danila Cianciosi,2023,Mediterranean Journal of Nutrition and Metabolism,10.3233/mnm-230027,B_aditivos_envasados_mx,"""food additives"" ""Latin America""",OpenAlex,"Betalains are water-soluble, nitrogen-containing vacuolar pigment and can be divided into two subclasses: the yellow – orange betaxanthins and the red – violet betacyanin. These pigments can be found mainly in Latin America, but also in some parts of Asia, Africa, Australia and in the Mediterranean area. In this work an overview related with the status of research about betalains extracted from Opuntia spp and the enforces made to evaluate their positive incidence in the human body is provided. Several studies enhance their anticancer, anti-inflammatory and antioxidant properties. They also exhibit antimicrobial and antidiabetic effect. Taking into account these properties, betalains seem to be a promising natural alternative as a colorant to replace the synthetic ones in the food additive industry. In addition, the use of Opuntia spp fruits as possible colorant sources in the Food Industry, may contribute positively to the sustainable development in semi-arid regions."
Estudio de pre factibilidad comercial para el cultivo de stevia dirigido al mercado externo,Beltran Vega; Lessing Hernan,2014,,,B_aditivos_envasados_mx,"""food additives"" ""Latin America""",OpenAlex,"The market mainly Stevia can be divided into three groups:The largest market for Stevia is currently the food industry and the beverage, mainly as a sweetener and flavoring.The healthcare market is second in order of importance.In the third, are the byproducts formed by the remains of the plant once the leaves have been selected for the tea industry or mining.The 70% of the total world production of Stevia is used to extract crystals called stevioside and Rebaudosidos-A, while 30% is intended for herbal uses.One of the limitations of market growth and atonement and cultivation of Stevia is that it has always been subject to a regulatory framework and this determined their economic performance. Your marketing is more limited when it is regulated as a dietary supplement, and is larger when it is defined as a food additive, including sweeteners.Note that the food and beverage industry is one of the most regulated in the world. It is not surprising that Stevia is experiencing barriers to growth, especially as a natural sweetener certificate. The way to improve the competitiveness of Stevia is to meet the regulatory and try that countries generally allowed as a food additive and it can be used as a natural sweetener.Scientific studies support the use of Stevia are available in Japan, Brazil, Denmark and other countries. Approximately 1 500 scientific research has resulted only in Japan who have a comprehensive approach and try to use the whole plant, not only the blade, through a "
Oral nicotine pouches with an aftertaste? Part 1: screening and initial toxicological assessment of flavorings and other ingredients,Nadja Mallock-Ohnesorg; Selina Rinaldi; Sebastian Malke; Nadine Dreiack; Elke Pieper; Peter Laux; Thomas F. Schulz; Ralf Zimmermann; Andreas Luch,2023,Archives of Toxicology,10.1007/s00204-023-03538-9,C_extraccion_desde_ingredientes,"""ingredient list"" ""food additives"" extraction",OpenAlex,"Nicotine pouches are oral products that deliver nicotine without containing tobacco. Previous studies mainly focused on the determination of known tobacco toxicants, while yet no untargeted analysis has been published on unknown constituents, possibly contributing to toxicity. Furthermore, additives might enhance product attractiveness. We therefore performed an aroma screening with 48 different nicotine-containing and two nicotine-free pouches using gas chromatography coupled to mass spectrometry, following acidic and basic liquid-liquid extraction. For toxicological assessment of identified substances, European and international classifications for chemical and food safety were consulted. Further, ingredients listed on product packages were counted and grouped by function. Most abundant ingredients comprised sweeteners, aroma substances, humectants, fillers, and acidity regulators. 186 substances were identified. For some substances, acceptable daily intake limits set by European Food Safety Agency (EFSA) and Joint FAO/WHO Expert Committee on Food Additives are likely exceeded by moderate pouch consumption. Eight hazardous substances are classified according to the European CLP regulation. Thirteen substances were not authorized as food flavorings by EFSA, among them impurities such as myosmine and ledol. Three substances were classified by International Agency for Research on Cancer as possibly carcinogenic to humans. The two nicotine-free pouches contain pharmacologically"
Extraction of E171 or E172 food additives from sugar-based or lipid-based complex matrices for primary particles identification by electron microscopy,Jessica Ponti,2024,Open Research Europe,10.12688/openreseurope.18678.1,C_extraccion_desde_ingredientes,"""ingredient list"" ""food additives"" extraction",OpenAlex,"Measurement of primary particle size distributions is fundamental to determining if a material should be classified as a nanomaterial according to the European Commission recommended definition. This is of particular relevance to alimentary products, where current regulation requires that any additives containing nanoforms be explicitly declared as such in the ingredients’ list. Currently, Electron Microscopy is the only instrumental technique able to reliably classify materials as nanomaterials. To verify the nanostatus of a material using this technique, it is essential to firstly extract the additives from the matrix in which they are dispersed, and then measure a wide size distribution while avoiding artefacts from the food matrix. In this operating procedure, extraction protocols, developed and applied for sugar-based or lipid-based food, are described. In particular, case studies for titanium dioxide E171 and iron oxide/iron hydroxide based materials such as E172 are considered. The protocols are based on gentle extraction of the additive materials and could, in principle, be used for other nanomaterials provided they are not soluble in water or ethanol and are resistant to enzymatic reactions. The size distribution of the extracted material can then be determined from images acquired using scanning and/or transmission electron microscopy."
Characterizing ingredients in commercially packaged baked products sold in the U.S.: An application of IngID,Jaspreet K.C. Ahuja; Ying Li; Quynhanh Nguyen; Pamela Pehrsson,2022,Journal of Food Composition and Analysis,10.1016/j.jfca.2022.104830,C_extraccion_desde_ingredientes,"""ingredient statements"" parsing",OpenAlex,
eGames: Is imagination the forgotten ingredient?,"Benjamin, Tom",2010,Computers in Human Behavior,10.1016/j.chb.2008.04.006,C_extraccion_desde_ingredientes,"""ingredient statements"" parsing",Crossref,
"<i>Bifidobacterium longum</i>
                    lysate, a new ingredient for reactive skin","Guéniche, Audrey; Bastien, Philippe; Ovigne, Jean Marc; Kermici, Michel; Courchay, Guy; Chevalier, Veronique; Breton, Lionel; Castiel‐Higounenc, Isabelle",2010,Experimental Dermatology,10.1111/j.1600-0625.2009.00932.x,C_extraccion_desde_ingredientes,"""ingredient statements"" parsing",Crossref," 
                     Please cite this paper as 
                    :
                     Bifidobacterium longum 
                    lysate, a new ingredient for reactive skin. Experimental Dermatology 2010;
                     19 
                    : e1–e8.
                   
                   
                     Abstract:  
                    Reactive skin is characterized by marked sensitivity to physical (heat, cold, wind) or chemical (topically applied products) stimuli and by the impairment of the skin barrier’s ability to repair itself. Several lines of evidence suggest that beyond their capacity to positively influence the composition of intestinal microbiota, some probiotic bacteria can modulate the immune system both at local and systemic levels, thereby improving immune defense mechanisms and/or down‐regulating immune disorders such as allergies and intestinal inflammation. Several recent human clinical trials clearly suggest that probiotic supplementation might be beneficial to the skin. Using a probiotic lysate,
                     Bifidobacterium longum 
                    sp. extract (BL), we demonstrated first
                     in vitro 
                    , and then in a clinical trial, that this non‐replicating bacteria form applied to the skin was able to improve sensitive skin. The effect of BL were evaluated first on two different models. Using
                     ex vivo 
                    human skin explant model we found a statisti"
Gender differences in client–provider relationship as active ingredient in substance abuse treatment,"Marsh, Jeanne C.; Shin, Hee-Choon; Cao, Dingcai",2010,Evaluation and Program Planning,10.1016/j.evalprogplan.2009.07.016,C_extraccion_desde_ingredientes,"""ingredient statements"" parsing",Crossref,
Simultaneous enantioseparation of a basic active pharmaceutical ingredient compound and its neutral intermediate using reversed phase and normal phase liquid chromatography with a new type of polysaccharide stationary phase,"Zhou, Lili; Antonucci, Vincent; Biba, Mirlinda; Gong, Xiaoyi; Ge, Zhihong",2010,Journal of Pharmaceutical and Biomedical Analysis,10.1016/j.jpba.2009.08.027,C_extraccion_desde_ingredientes,"""ingredient statements"" parsing",Crossref,
Evaluation of growth performance of broiler birds fed with diet containing different levels of velvet bean meal as an alternative protein ingredient,"Vadivel, V.; Pugalenthi, M.",2010,Livestock Science,10.1016/j.livsci.2009.09.002,C_extraccion_desde_ingredientes,"""ingredient statements"" parsing",Crossref,
Investigating the effects of ingredient levels on physical quality properties of cooked hamburger patties using response surface methodology and image processing technology,"Velioğlu, Hasan Murat; Velioğlu, Serap Duraklı; Boyacı, İsmail Hakkı; Yılmaz, İsmail; Kurultay, Şefik",2010,Meat Science,10.1016/j.meatsci.2009.10.001,C_extraccion_desde_ingredientes,"""ingredient statements"" parsing",Crossref,
Fusion production of solid dispersions containing a heat-sensitive active ingredient by hot melt extrusion and Kinetisol® dispersing,"DiNunzio, James C.; Brough, Chris; Hughey, Justin R.; Miller, Dave A.; Williams III, Robert O.; McGinity, James W.",2010,European Journal of Pharmaceutics and Biopharmaceutics,10.1016/j.ejpb.2009.09.007,C_extraccion_desde_ingredientes,"""ingredient statements"" parsing",Crossref,
Analysis of Ingredient Functionality and Formulation Optimization of an Instant Peanut Beverage Mix,"Howard, Brandy M.; Hung, Yen‐Con; McWatters, S. Kay",2010,Journal of Food Science,10.1111/j.1750-3841.2009.01380.x,C_extraccion_desde_ingredientes,"""ingredient statements"" parsing",Crossref," 
                     ABSTRACT:  
                    Powder for an instant shake‐style beverage was created using partially defatted peanut flour (12% fat), granulated sugar, and nonfat dry milk (NFDM). The 3 main components, along with constant amounts of stabilizing gums and anti‐caking silica, were mixed together and finely milled in a Super Wing Mill to further reduce the particle sizes. Drinks from each formula variation were prepared and analyzed for viscosity (digital viscometer), color (colorimeter), and separation rate. Each beverage was also analyzed by consumers to determine acceptability of flavor, mouth‐feel, and color. Physical test results show that viscosity increased with increasing proportion of peanut flour in the formula, and viscosity decreased with increasing levels of sugar and NFDM. For each formula, the samples at refrigerated temperature (4 °C) were less viscous than those at ambient temperatures (23 to 25 °C). Color values show that the beverage powder color was mostly influenced by peanut flour percentage, becoming darker with increasing levels of peanut flour. Prepared beverage color was influenced by both NFDM and peanut flour percentage; lightness increased with increasing NFDM percentage and decreased with increasing peanut flour percentage. Separation rates were most affected by the proportion of NFDM in the formula; higher levels decreased the rate of separation. Refrigeration slowed the rate of separation in all samples. Response surface a"
